generacja,best_cost,avg_cost,worst_cost
537,1316,1410.06,2029
538,1316,1405.38,2125
539,1316,1401.344,2030
540,1316,1406.712,2046
541,1316,1381.06,2076
542,1316,1420.552,2112
543,1316,1401.66,2083
544,1316,1408.136,2035
545,1316,1407.484,2099
546,1316,1414.528,2084
547,1316,1402.272,2042
548,1316,1404.416,2038
549,1316,1432.552,2084
550,1316,1397.136,2129
551,1316,1409.296,2094
552,1316,1401.128,2048
553,1316,1417.88,2071
554,1316,1399.808,1995
555,1316,1412.212,2099
556,1316,1411.292,2043
557,1316,1400.588,2048
558,1316,1413.176,2081
559,1316,1410.128,2079
560,1316,1414.42,2112
561,1316,1404.276,2013
562,1316,1421.016,1995
563,1316,1394.212,2003
564,1316,1395.576,2083
565,1316,1401.08,2084
566,1316,1419.084,2129
567,1316,1420.372,2021
568,1316,1417.68,2112
569,1316,1420.54,2056
570,1316,1396.912,2038
571,1316,1402.3,2021
572,1316,1376.604,1974
573,1316,1415.836,2076
574,1316,1412.184,2090
575,1316,1411.824,2057
576,1316,1434.868,2149
577,1316,1415.704,2090
578,1316,1413.108,2125
579,1316,1402.892,2129
580,1316,1406.58,2071
581,1316,1392.872,2149
582,1316,1413.108,2090
583,1316,1400.912,2149
584,1316,1389.78,1996
585,1316,1415.3,2149
586,1316,1415.74,2057
587,1316,1406.356,2023
588,1316,1398.852,1966
589,1316,1416.552,2099
590,1316,1395.988,2038
591,1316,1398.064,2069
592,1316,1412.452,2090
593,1316,1403.44,2149
594,1316,1413.632,2083
595,1316,1406.176,2099
596,1316,1409.156,2129
597,1316,1412.984,2050
598,1316,1396.648,2044
599,1316,1417.068,2038
600,1316,1405.272,2019
601,1316,1411.612,2099
602,1316,1395.58,2076
603,1316,1428.732,2108
604,1316,1420.052,2090
605,1316,1426.272,2129
606,1316,1397.384,2008
607,1316,1394.512,2005
608,1316,1420.32,2081
609,1316,1427.776,2076
610,1316,1396.276,2026
611,1316,1400.084,2048
612,1316,1440.46,2083
613,1316,1397.644,2094
614,1316,1398.26,2149
615,1316,1404.296,2046
616,1316,1420.076,2041
617,1316,1391.832,2079
618,1316,1402.156,2018
619,1316,1404.852,1996
620,1316,1409.164,2084
621,1316,1420.824,2013
622,1316,1409.8,2071
623,1316,1398.564,1975
624,1316,1407.14,2038
625,1316,1407.436,2044
626,1316,1405.24,2071
627,1316,1417.016,2149
628,1316,1398.196,2094
629,1316,1405.336,2026
630,1316,1418.208,2084
631,1316,1404.4,2129
632,1316,1405.108,2094
633,1316,1413.34,2041
634,1316,1407.896,2079
635,1316,1409.392,2129
636,1316,1415.656,2057
637,1316,1410.12,2042
638,1316,1397.932,2149
639,1316,1417.888,2008
640,1316,1412.176,2057
641,1316,1408.528,2047
642,1316,1388.064,1998
643,1316,1401.708,2126
644,1316,1386.036,2038
645,1316,1406.472,2057
646,1316,1402.276,2095
647,1316,1399.22,2057
648,1316,1390.296,2003
649,1316,1427.256,2129
650,1316,1393.516,2081
651,1316,1426.652,2112
652,1316,1400.136,1991
653,1316,1406.772,2083
654,1316,1388.888,2094
655,1316,1422.464,2129
656,1316,1409.912,2090
657,1316,1408.52,2149
658,1316,1406.176,2079
659,1316,1397.388,2038
660,1316,1387.476,2094
661,1316,1410.444,2027
662,1316,1413.22,2068
663,1316,1402.5,2090
664,1316,1425.068,2112
665,1316,1404.4,2050
666,1316,1414.624,2125
667,1316,1414.696,2071
668,1316,1413.092,2046
669,1316,1414.208,2084
670,1316,1406.952,2149
671,1316,1408.808,2047
672,1316,1411.396,2090
673,1316,1412.644,2112
674,1316,1411.124,2149
675,1316,1404.364,2035
676,1316,1403.488,2038
677,1316,1405.4,2083
678,1316,1408.864,2046
679,1316,1389.548,2060
680,1316,1426.792,2095
681,1316,1420.028,2081
682,1316,1407.38,2149
683,1316,1388.896,2056
684,1316,1400.272,2076
685,1316,1385.236,2090
686,1316,1407.948,2033
687,1316,1413.368,2112
688,1316,1395.72,2099
689,1316,1389.496,2043
690,1316,1406.396,2061
691,1316,1401.992,2060
692,1316,1411.632,2069
693,1316,1420.504,2068
694,1316,1407.24,2112
695,1316,1416.776,2171
696,1316,1414.48,2056
697,1316,1415.988,2095
698,1316,1404.74,2084
699,1316,1411.916,2046
700,1316,1403.96,2069
701,1316,1403.176,2050
702,1316,1418.232,2129
703,1316,1411.872,2083
704,1316,1400.008,2038
705,1316,1409.396,2149
706,1316,1396.16,2095
707,1316,1438.304,2084
708,1316,1418.68,2027
709,1316,1407.248,2084
710,1316,1434.98,1990
711,1316,1399.224,2060
712,1316,1389.072,1987
713,1316,1410.708,2030
714,1316,1419.3,2068
715,1316,1413.484,2112
716,1316,1423.716,2095
717,1316,1402.28,2081
718,1316,1409.584,2099
719,1316,1423.148,2081
720,1316,1406.936,2069
721,1316,1404.624,2129
722,1316,1409.936,2046
723,1316,1417.876,2083
724,1316,1420.384,2084
725,1316,1394.036,2094
726,1316,1411.344,2079
727,1316,1402.264,2019
728,1316,1420.584,2008
729,1316,1404.248,2083
730,1316,1425.572,2079
731,1316,1430.688,2149
732,1316,1424.36,2083
733,1316,1398.588,2095
734,1316,1410.372,2044
735,1316,1408.924,2090
736,1316,1398.096,2149
737,1316,1410.912,2099
738,1316,1384.092,2068
739,1316,1402.696,2076
740,1316,1405.192,2094
741,1316,1404.852,2035
742,1316,1422.184,2083
743,1316,1401.864,2083
744,1316,1422.056,2050
745,1316,1419.244,2079
746,1316,1420.732,2046
747,1316,1424.228,2047
748,1316,1410.34,2090
749,1316,1396.052,2076
750,1316,1409.904,2112
751,1316,1418.924,2095
752,1316,1389.288,1996
753,1316,1403.26,2043
754,1316,1417.912,2069
755,1316,1412.444,2071
756,1316,1422.224,2090
757,1316,1410.088,2083
758,1316,1398.768,2095
759,1316,1403.228,2083
760,1316,1403.272,2076
761,1316,1429.668,2103
762,1316,1407.916,2112
763,1316,1397.228,2099
764,1316,1390.7,1998
765,1316,1428.756,2076
766,1316,1400.864,2027
767,1316,1415.96,2099
768,1316,1405.388,2112
769,1316,1404.26,2084
770,1316,1415.976,2068
771,1316,1392.504,2044
